Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1971.545.44,False,False,False,415264,,Drawings and Prints,1971,Print,"Don Quixote and Sancho Panza, from ""L'Artiste""",,,,,L'Artiste,7391410408,Artist|Publisher, | ,"Anonymous, French, 19th century|L'Artiste", | , | ,"Anonymous, French, 19th century|L'Artiste",French|French,1800      |          ,1900      |          ,|,http://vocab.getty.edu/page/ulan/500397994|,https://www.wikidata.org/wiki/Q4233718|,ca. 1870–72,1865,1875,Etching with aquatint and roulette,"Sheet: 11 1/4 x 15 3/8 in. (28.5 x 39 cm)
Plate: 9 13/16 x 12 3/8 in. (25 x 31.5 cm)","Gift of Lincoln Kirstein, 1971",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/415264,,,"Metropolitan Museum of Art, New York, NY",,,
40.111.73,False,False,True,374220,,Drawings and Prints,1940,Print,Monsters,,,,,,9736216346,Artist|Publisher, |Published by,Fred Becker|WPA,"American, Oakland, California 1913–2004 Amherst, Massachusetts| ", | ,"Becker, Fred|WPA",American| ,1913      |          ,2004      |          ,|,http://vocab.getty.edu/page/ulan/500121788|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q60712374|https://www.wikidata.org/wiki/Q1200079,1935–40,1935,1940,Wood engraving,"Block: 5 x 4 in. (12.7 x 10.2 cm)
Sheet: 11 1/4 x 8 3/4 in. (28.6 x 22.2 cm)","Harris Brisbane Dick Fund, 1940",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374220,,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Monsters,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300412118,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q276453
2011.604.1.4436,False,False,True,696006,,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",Late Archaic,,,,,,,,,,,,,,,,,490–480 BCE,-500,-450,Terracotta,,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/696006,,,"Metropolitan Museum of Art, New York, NY",,,
1991.39,False,False,True,207952,,European Sculpture and Decorative Arts,1991,Soup plate,Soup plate,"British, Stoke-on-Trent, Staffordshire",,,,,3518,Factory, ,Minton(s),"British, Stoke-on-Trent, 1793–present", ,Minton,British,1793      ,2001      ,,http://vocab.getty.edu/page/ulan/500276237,https://www.wikidata.org/wiki/Q6869688,ca. 1880,1875,1885,Bone china,Diam. 9 15/16 in. (25.2 cm); H. 1 1/2 in. (3.8 cm),"Gift of Denis Gallion and Daniel Morris, 1991",,,,,,,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/207952,,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
89.4.838,False,False,False,501450,,Musical Instruments,1889,Pachava,Pachava,Pentecost Island,,,,,,,,,,,,,,,,,,late 19th century,1850,1900,Bamboo,"Longest 5 in., shortest 2 in.","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Vanuatu,,,,,,,Aerophone-Blow Hole-panpipe,,http://www.metmuseum.org/art/collection/search/501450,,,"Metropolitan Museum of Art, New York, NY",,,
33.84(2.26),False,False,False,431420,,Drawings and Prints,1933,Print collection ornament & architecture,"Altarpiece with the Assumption of the Virgin, from Retables d'autels, plate 2, bound in Oeuvres. Vol. II",,,,,Retables d'autels,841227766,Artist|Publisher, | ,Jean Le Pautre|Pierre Mariette le fils,"French, Paris 1618–1682 Paris|French, Paris 1634–1716 Paris", | ,"Le Pautre, Jean|Mariette, Pierre le fils",French|French,1618      |1634      ,1682      |1716      ,|,http://vocab.getty.edu/page/ulan/500122209|http://vocab.getty.edu/page/ulan/500073206,|https://www.wikidata.org/wiki/Q21638159,17th century,1633,1682,Etching; second state of two (Préaud),"Sheet: 13 3/8 × 8 7/16 in. (34 × 21.5 cm)
Plate: 7 7/8 × 5 7/16 in. (20 × 13.8 cm)","Harris Brisbane Dick Fund, 1933",,Paris,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/431420,,,"Metropolitan Museum of Art, New York, NY",,,
57.24,False,False,True,201958,,European Sculpture and Decorative Arts,1957,Statuette,The Planet Venus,"probably German, Augsburg",,,,,,,,,,,,,,,,,,mid-16th century,1530,1566,"Bronze, with  traces of gilt and red undergilding",H. w. base 15-13/16 in. (40.2 cm.); H. w/out base 14-1/8 in. (35.9 cm.),"Rogers Fund, 1957",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/201958,,,"Metropolitan Museum of Art, New York, NY",Venus,http://vocab.getty.edu/page/ia/901001064,https://www.wikidata.org/wiki/Q47652
54.90.1443,False,False,False,666171,,Drawings and Prints,1954,Print,Bird's-Eye View of New-York & Brooklyn,,,,,,18051410004318051,Artist|Lithographer|Publisher, | | ,C. E. Lewis|Francis Michelin|E. Anthony,"American, 19th century|American, born England, active in New York, New York 1844–1858|New York", | | ,"Lewis, C. E.|Michelin, Francis|Anthony, E.",American|American|American,1800      |1844      |1800      ,1900      |1858      |1900      ,||,||,||,1849,1849,1849,Lithograph with tint stones,"Image: 13 in. × 22 5/8 in. (33 × 57.5 cm)
Sheet: 16 3/4 in. × 25 in. (42.5 × 63.5 cm)","The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold, 1954",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/666171,,,"Metropolitan Museum of Art, New York, NY",,,
26.28.756,False,False,False,843073,,Drawings and Prints,1926,"Print, Trade card","Advertisement for ""The Graphic""",,,,,,9139,Artist, ,"Anonymous, British, 19th century", , ,"Anonymous, British, 19th century",British,1800      ,1900      ,,http://vocab.getty.edu/page/ulan/500397994,https://www.wikidata.org/wiki/Q4233718,19th century,1800,1900,Color lithograph,Sheet: 5 1/2 in. × 4 in. (14 × 10.2 cm),"Gift of Bella C. Landauer, 1926",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/843073,,,"Metropolitan Museum of Art, New York, NY",,,
"Burdick 537, W626.69",False,False,False,825803,,Drawings and Prints,1963,Print,Earl Whitehill from Foto-Fun Photo Kits (W626),,,,,,,,,,,,,,,,,,,ca. 1938–39,1938,1940,Cyanotype,Sheet: 3 11/16 × 2 3/4 in. (9.3 × 7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/825803,,,"Metropolitan Museum of Art, New York, NY",,,
